	N	Location	Scale	Degree of Freedom	Shape
42MGBA_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3434017163922305	2.3193814650947293	5.962197163622386	-1.847012883029065
8MGBA_CENTRAL_NERVOUS_SYSTEM	12004.0	3.1516492776743554	1.7413243531419207	5.361002630302762	-1.2754472417496114
A1207_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3841491944722	2.1917956989075367	5.367320072808118	-1.7812680375763734
A172_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3854197358530542	2.1420990507906623	5.450546454954036	-1.8112058759542644
AM38_CENTRAL_NERVOUS_SYSTEM	12004.0	3.4563945051913167	2.320307638647315	5.6513539824089545	-1.9082696683933509
CAS1_CENTRAL_NERVOUS_SYSTEM	12004.0	3.1632074774941765	1.870184918367471	5.313952143616776	-1.5975708020653485
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	12004.0	3.4189318267241315	2.327710092133842	5.8087379872290015	-1.9584826340232977
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	12004.0	3.1656293712752657	1.967544213200397	5.616681827282268	-1.437253147514455
DKMG_CENTRAL_NERVOUS_SYSTEM	12004.0	3.1155154576137534	2.0237918607167513	5.279817985113359	-1.6783149284541585
GAMG_CENTRAL_NERVOUS_SYSTEM	12004.0	3.477699025931704	2.305294602706261	8.615722175349369	-1.8455626887790573
GB1_CENTRAL_NERVOUS_SYSTEM	12004.0	3.4365029793330937	2.251096950005965	5.290515619847038	-1.9045625268302775
GI1_CENTRAL_NERVOUS_SYSTEM	12004.0	3.4094443625742956	2.1804936481721633	4.911009182400154	-1.8697146902130082
GMS10_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3317354070178826	1.9562326293453145	5.349695018044095	-1.646856293033169
GOS3_CENTRAL_NERVOUS_SYSTEM	12004.0	3.2827486420010548	1.9232931323034603	4.698561784808068	-1.6828532087718155
H4_CENTRAL_NERVOUS_SYSTEM	12004.0	3.1148479453565425	1.8178058810593969	5.563333981525402	-1.3218092902651355
HS683_CENTRAL_NERVOUS_SYSTEM	12004.0	3.243711143448005	1.9762406554988026	6.502983272255683	-1.5197119967743995
KALS1_CENTRAL_NERVOUS_SYSTEM	12004.0	3.0913563697164186	1.8560808477396127	5.5325280999917545	-1.3503938788133059
KG1C_CENTRAL_NERVOUS_SYSTEM	12004.0	3.198829370098104	1.87368687930483	4.7304688550246645	-1.4960910395583058
KNS42_CENTRAL_NERVOUS_SYSTEM	12004.0	3.472899212080687	2.1045861365153296	4.731737127047482	-1.9935510293055159
KNS60_CENTRAL_NERVOUS_SYSTEM	12004.0	3.18294228763686	1.8063110558221451	4.940194471053321	-1.4299439969904173
KNS81_CENTRAL_NERVOUS_SYSTEM	12004.0	3.1360419977622893	1.8501859424857172	5.03109307453769	-1.4551613995112602
KS1_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3912820385919025	2.1356453056856552	4.053351014262959	-1.914798872862623
LN18_CENTRAL_NERVOUS_SYSTEM	12004.0	3.49031322237155	2.2253095815356296	6.311920908012503	-1.881011285197172
LN215_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3099678430387836	1.8228730069368169	5.1644382084093134	-1.5420939977850598
LN229_CENTRAL_NERVOUS_SYSTEM	12004.0	3.285512082254292	1.9233442996037928	4.357866696795117	-1.5772836170236209
LN235_CENTRAL_NERVOUS_SYSTEM	12004.0	3.2692435361901775	2.0075232546160766	5.018036709993769	-1.6025290420135052
LN319_CENTRAL_NERVOUS_SYSTEM	12004.0	3.380769153602163	1.9780401179613345	4.67515759976884	-1.8353224090094926
LN340_CENTRAL_NERVOUS_SYSTEM	12004.0	3.4464161052668834	2.1386517284109665	6.270652190276769	-1.813583204791987
LN382_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3553519126007476	1.9928810810659743	4.512554089050736	-1.7262728686590214
LN428_CENTRAL_NERVOUS_SYSTEM	12004.0	3.1095916886885346	1.7913521495803484	4.943112353849932	-1.4092348043708096
LN443_CENTRAL_NERVOUS_SYSTEM	12004.0	3.479475561579502	2.2597578363313344	5.26060803186034	-2.0108549314118918
LN464_CENTRAL_NERVOUS_SYSTEM	12004.0	3.4751301245157116	2.2948837404886007	5.193030229263139	-1.9540438619650198
LNZ308_CENTRAL_NERVOUS_SYSTEM	12004.0	3.508179038831469	2.239529845410422	4.36143034446019	-1.9976416360342344
M059K_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3830165656957147	2.2277977591480225	5.591916992969798	-1.8580429181150406
NMCG1_CENTRAL_NERVOUS_SYSTEM	12004.0	3.203547865835158	1.9208957048277262	4.803044454689419	-1.5009475370056915
SF126_CENTRAL_NERVOUS_SYSTEM	12004.0	3.358590327933462	2.1071429375437956	4.69172613165311	-1.7412900534507982
SF172_CENTRAL_NERVOUS_SYSTEM	12004.0	3.451990798155453	2.3197129644008108	5.107300948190458	-1.9058004023349664
SF295_CENTRAL_NERVOUS_SYSTEM	12004.0	3.410186509214403	2.2262652430043617	6.538683243844878	-1.766066619459523
SF767_CENTRAL_NERVOUS_SYSTEM	12004.0	3.2247246108938303	1.988945571805615	4.482720896764867	-1.5587044885491264
SNU1105_CENTRAL_NERVOUS_SYSTEM	12004.0	3.1523860216006447	2.0664969010560323	6.317653868538257	-1.543820525726471
SNU201_CENTRAL_NERVOUS_SYSTEM	12004.0	3.0765555778818703	1.862422177344265	6.531177253077852	-1.3389593656573595
SNU466_CENTRAL_NERVOUS_SYSTEM	12004.0	3.0233335888002557	2.16030801431083	5.682379954677261	-1.5038879997138621
SNU489_CENTRAL_NERVOUS_SYSTEM	12004.0	3.0013251949519364	1.955487274605877	6.4924230599205615	-1.3185494036457874
SNU626_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3024559331315984	1.8603573766724075	4.844157799114207	-1.6001739423279218
SNU738_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3703950790388397	2.3001559694057665	5.591459886182819	-1.8100958503631484
SW1088_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3575245806104004	2.0582059265396238	5.965991195422702	-1.7247093031995107
SW1783_CENTRAL_NERVOUS_SYSTEM	12004.0	3.255927703612817	1.9949009569034757	5.528075518055779	-1.5173627234786793
T98G_CENTRAL_NERVOUS_SYSTEM	12004.0	3.351034427881929	2.0680215194438447	4.652952187844212	-1.7800066801607373
TM31_CENTRAL_NERVOUS_SYSTEM	12004.0	3.3390906747633675	2.0425619623954843	4.694973444907454	-1.755012418986572
U118MG_CENTRAL_NERVOUS_SYSTEM	12004.0	3.472348554010355	2.1365897269759593	4.6239715523965685	-2.002211732167193
U178_CENTRAL_NERVOUS_SYSTEM	12004.0	3.363627116291641	2.107858022177176	4.2128105141409	-1.9029853552469302
U251MG_CENTRAL_NERVOUS_SYSTEM	12004.0	3.240869060965338	1.9078517952522425	4.467630378403681	-1.6037685637813006
U343_CENTRAL_NERVOUS_SYSTEM	12004.0	3.121302505599934	1.9946341638391514	4.85651929424432	-1.4918667448794611
U87MG_CENTRAL_NERVOUS_SYSTEM	12004.0	3.388003540785534	2.141242725860815	4.839362625588265	-1.7776250930010302
YH13_CENTRAL_NERVOUS_SYSTEM	12004.0	3.1661212260829963	1.871794524421554	5.207436997773481	-1.511011248129553
YKG1_CENTRAL_NERVOUS_SYSTEM	12004.0	3.2605961951585125	1.8226629703341861	5.220196931665805	-1.4577987766253275
